id,title,vote_average,release_date,genres,keywords
27205,Inception,8.364,15/07/2010,"Action, Science Fiction, Adventure","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious"
157336,Interstellar,8.417,05/11/2014,"Adventure, Drama, Science Fiction","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated"
155,The Dark Knight,8.512,16/07/2008,"Drama, Action, Crime, Thriller","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir"
19995,Avatar,7.573,15/12/2009,"Action, Adventure, Fantasy, Science Fiction","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, joyful"
24428,The Avengers,7.71,25/04/2012,"Science Fiction, Action, Adventure","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
293660,Deadpool,7.606,09/02/2016,"Action, Adventure, Comedy","superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger"
299536,Avengers: Infinity War,8.255,25/04/2018,"Adventure, Action, Science Fiction","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
550,Fight Club,8.438,15/10/1999,Drama,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness"
118340,Guardians of the Galaxy,7.906,30/07/2014,"Action, Science Fiction, Adventure","spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
680,Pulp Fiction,8.488,10/09/1994,"Thriller, Crime","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, hilarious"
13,Forrest Gump,8.477,23/06/1994,"Comedy, Drama, Romance","vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good"
671,Harry Potter and the Philosopher's Stone,7.916,16/11/2001,"Adventure, Fantasy","witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, shopping, fantasy world, wizard, christmas, based on young adult novel, owl, wizarding world"
1726,Iron Man,7.64,30/04/2008,"Action, Science Fiction, Adventure","middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism"
68718,Django Unchained,8.171,25/12/2012,"Drama, Western","rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi"
278,The Shawshank Redemption,8.702,23/09/1994,"Drama, Crime","prison, friendship, police brutality, corruption, based on novel or book, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover"
299534,Avengers: Endgame,8.263,24/04/2019,"Adventure, Science Fiction, Action","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship"
603,The Matrix,8.206,30/03/1999,"Action, Science Fiction","man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, woman director, messiah, action hero, gnosticism, complex"
597,Titanic,7.9,18/11/1997,"Drama, Romance","epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship, absurd, sinister, romantic, tragic"
475557,Joker,8.168,01/10/2019,"Crime, Thriller, Drama","dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, depressing"
120,The Lord of the Rings: The Fellowship of the Ring,8.402,18/12/2001,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, new zealand, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery, nz"
122,The Lord of the Rings: The Return of the King,8.474,01/12/2003,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery"
11324,Shutter Island,8.2,14/02/2010,"Drama, Thriller, Mystery","island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s"
106646,The Wolf of Wall Street,8.035,25/12/2013,"Crime, Drama, Comedy","corruption, drug addiction, anti hero, con man, fraud, wall street, based on true story, rise and fall, con artist, money, stockbroker, wealthy, drugs, stripping, hedonism, decadence, corrupt, 1980s, sharemarket fraud, financial market, black monday, joyful"
99861,Avengers: Age of Ultron,7.276,22/04/2015,"Action, Adventure, Science Fiction","artificial intelligence (a.i.), superhero, based on comic, sequel, superhero team, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, evil robot"
271110,Captain America: Civil War,7.4,27/04/2016,"Adventure, Action, Science Fiction","civil war, superhero, based on comic, sequel, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), excited"
49026,The Dark Knight Rises,7.777,17/07/2012,"Action, Crime, Drama, Thriller","fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood"
68721,Iron Man 3,6.928,18/04/2013,"Action, Adventure, Science Fiction","california, war on terror, superhero, malibu, based on comic, tennessee, billionaire, aftercreditsstinger, marvel cinematic universe (mcu), christmas, america"
284054,Black Panther,7.39,13/02/2018,"Action, Adventure, Science Fiction","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
284052,Doctor Strange,7.427,25/10/2016,"Action, Adventure, Fantasy","magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
76341,Mad Max: Fury Road,7.582,13/05/2015,"Action, Adventure, Science Fiction","rescue, future, australia, chase, dystopia, post-apocalyptic future, survival, on the run, on the road, convoy, peak oil, dark future"
16869,Inglourious Basterds,8.215,19/08/2009,"Drama, Thriller, War","guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, revisionist history, adolf hitler"
70160,The Hunger Games,7.193,12/03/2012,"Science Fiction, Adventure, Fantasy","based on novel or book, revolution, dystopia, female protagonist, bow and arrow, game, archery, death match, forced to kill, based on young adult novel"
315635,Spider-Man: Homecoming,7.345,05/07/2017,"Action, Adventure, Science Fiction, Drama","high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, marvel cinematic universe (mcu)"
672,Harry Potter and the Chamber of Secrets,7.721,13/11/2002,"Adventure, Fantasy","witch, flying car, elves, magic, sword, diary, child hero, school of witchcraft, giant spider, black magic, giant snake, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel, wizarding world"
283995,Guardians of the Galaxy Vol. 2,7.624,19/04/2017,"Science Fiction, Adventure, Action","superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
121,The Lord of the Rings: The Two Towers,8.385,18/12/2002,"Adventure, Fantasy, Action","mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery"
1771,Captain America: The First Avenger,6.995,22/07/2011,"Action, Adventure, Science Fiction","new york city, nazi, superhero, world war ii, heroism, shield, based on comic, super soldier, period drama, brooklyn, new york city, aftercreditsstinger, marvel cinematic universe (mcu), origin story, soldiers, war"
297761,Suicide Squad,5.909,03/08/2016,"Action, Adventure, Fantasy","secret mission, superhero, anti hero, villain, supervillain, dc extended universe (dceu)"
673,Harry Potter and the Prisoner of Azkaban,8.02,31/05/2004,"Adventure, Fantasy","witch, school friend, friendship, flying, magic, bus, traitor, child hero, school of witchcraft, black magic, time travel, school, best friend, werewolf, muggle, wizard, aftercreditsstinger, magical creature, night bus, teenage life, christmas, school class, based on young adult novel, magic spell, wizarding world"
10195,Thor,6.768,21/04/2011,"Adventure, Fantasy, Action","new mexico, superhero, redemption, banishment, based on comic, brother against brother, norse mythology, aftercreditsstinger, marvel cinematic universe (mcu), worlds collide, god of thunder, fantasy"
10138,Iron Man 2,6.835,28/04/2010,"Adventure, Action, Science Fiction","technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out"
272,Batman Begins,7.701,10/06/2005,"Action, Crime, Drama","martial arts, undercover, loss of loved one, secret identity, crime fighter, superhero, based on comic, rivalry, ninja, vigilante, tragic hero, super power, haunted by the past, evil doctor, master villain, unfulfilled love"
284053,Thor: Ragnarok,7.595,02/10/2017,"Action, Adventure, Science Fiction","superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god, loki"
